entrez	order	max_neg	min_neg	mean_neg	sd_neg	GO_P1	GO_P2	GO_P3	GO_P4	GO_P5	GO_P6	GO_P7	GO_P8	GO_P9	GO_P10	GO_P11	GO_P12	GO_P13	GO_P14	GO_P15	GO_P16	GO_P17
51678	10017	8.834	5.906	6.71692660550459	0.528750828848348	6.62363946541342e-07	0.0109403288295301	0.00531692727418831	0.00631122360450542	2.70350596913149e-07	0.0059798835656939	7.70285156309462e-07	0.00021465927130468	7.56410132649489e-06	0.00664247159930365	2.72275612207229e-08	5.79276796594269e-05	1	0.000478232460460045	5.05692533929636e-07	1.14828738625176e-09	0.00232906237992259
81566	12065	8.098	6.164	7.23575229357798	0.333206091157568	0.000466415754559097	4.87316086638281e-15	6.94172106512705e-14	4.71697462959003e-05	0.0241593808160265	4.22170083910384e-05	0.033890405867409	0.000637624525484837	5.58558150446695e-07	5.23953126708255e-05	0.0115969550295725	0.000172910669864253	1	2.11455382029658e-05	0.029576340245279	1	1
285555	8356	6.502	5.898	6.12217431192661	0.101990839642832	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7205	12809	10.616	7.491	9.46933944954128	0.62488498527186	6.19586497022994e-10	2.00960370572933e-06	4.12781002977572e-10	3.59207787343621e-07	3.0407868571362e-08	8.51702304121342e-05	1.3746276896353e-05	1.9150436569547e-07	0.000131873645237155	4.22403824896204e-07	4.92578728740972e-07	0.000347909346287365	1	1.06367976535877e-08	0.000783962393473612	0.00620032925531322	0.00542724510848747
387032	5223	8.13	6.052	7.0232752293578	0.301982611455485	7.18639787405125e-09	8.37051572483321e-13	1.54417609974752e-14	5.5484119115338e-08	0.000161673443734201	2.62994870658076e-05	0.000321885967891972	1.36261064444765e-08	0.00144899389259537	0.00884729855147925	7.61229559345585e-08	0.00010785989193622	1	0.000886053079325765	0.000244018199821883	1	1
29915	2500	8.229	5.991	7.24256880733945	0.399910345669582	1.4405828016624e-10	3.04832603175095e-09	9.43832326471906e-08	5.7615655800818e-05	2.21142848441903e-06	5.15680239821814e-05	6.27723470819011e-06	6.36828784170633e-08	8.72143642178072e-09	6.39960751819199e-05	7.07089476207666e-05	0.000211069620576121	0.0205679370510071	0.0611312059771608	0.000476563686663147	0.00487452664249088	0.0042663944087723
8424	14743	6.574	5.636	6.0434128440367	0.17443757298971	5.40113466956855e-06	0.000177073300284437	4.04724621689521e-05	5.7615655800818e-05	2.21142848441903e-06	5.15680239821814e-05	0.000628080880613899	8.67589587330213e-06	0.0777189301085465	0.0121458238906172	4.47519039495121e-10	0.0217657525708289	1.00252020362019e-06	2.89542689683877e-05	4.12788232806278e-06	0.00487452664249088	1
4869	11540	6.54	5.778	6.09609174311927	0.129670489895393	3.5240820171183e-11	2.37429998431767e-13	6.35500083276626e-14	5.7393729665241e-07	1.96700638862512e-10	3.51767051522863e-05	7.35294468166227e-05	1.29188883967126e-10	2.38186688249599e-08	6.48214555315311e-11	0.00257459037979434	1.80630640409619e-07	0.115727286037041	3.33765908020555e-09	4.25960655829289e-05	0.0285037193687567	1
6633	11395	10.227	9.0385	9.58211926605505	0.218123169620704	1.24583511383947e-06	1.14763358829939e-07	1.30571020347964e-06	2.25314409889818e-06	0.00168710936222154	0.000278958740019115	0.0033213117331057	0.000116375864286722	0.00078558095311688	2.64833058120972e-06	3.08688994002937e-06	1.63456028287291e-05	1	0.000380783514656669	0.0025304933325414	0.0110483918583548	1
130271	4874	7.399	5.846	6.62332110091743	0.325005666068385	9.12126701815195e-16	3.04832603175095e-09	4.04724621689521e-05	5.7615655800818e-05	1.00781731783883e-08	1.37438230894863e-07	1.86047113851986e-10	6.36828784170633e-08	8.72750558460933e-07	6.39960751819199e-05	4.47519039495121e-10	0.000211069620576121	0.0205679370510071	0.00172107787730779	2.48432014064657e-13	0.00487452664249088	0.0042663944087723
